Distance_(nm),Gray_Value
0,482.6159
2.18,489.5873
4.36,490.351
6.541,486.7266
8.721,480.9588
10.901,479.5847
13.081,482.1424
15.262,485.1853
17.442,490.5135
19.622,499.3275
21.802,504.4231
23.983,502.5431
26.163,494.7464
28.343,486.447
30.523,478.5135
32.704,473.8259
34.884,476.0533
37.064,480.5949
39.244,484.2624
41.424,485.4005
43.605,483.0615
45.785,479.5215
47.965,478.2586
50.145,477.0854
52.326,478.5914
54.506,485.686
56.686,492.6101
58.866,492.8785
61.047,488.102
63.227,482.9853
65.407,478.6206
67.587,478.0948
69.768,480.984
71.948,486.6089
74.128,483.3267
76.308,480.0865
78.488,482.3216
80.669,488.2338
82.849,490.9586
85.029,489.3153
87.209,486.6097
89.39,482.7266
91.57,481.9818
93.75,482.3752
95.93,478.3689
98.111,474.4012
100.291,472.8987
102.471,473.3716
104.651,471.3065
106.832,468.1263
109.012,462.7337
111.192,457.4031
113.372,449.6675
115.552,447.1898
117.733,447.9582
119.913,448.4952
122.093,450.1438
124.273,457.214
126.454,465.8493
128.634,472.6318
130.814,471.398
132.994,471.4357
135.175,475.4225
137.355,482.9351
139.535,484.8723
141.715,487.9597
143.896,490.2108
146.076,498.8564
148.256,502.9541
150.436,502.9254
152.617,497.8472
154.797,492.5118
156.977,494.3852
159.157,501.9066
161.337,509.8869
163.518,510.3969
165.698,510.3247
167.878,509.572
170.058,503.7939
172.239,498.284
174.419,496.2899
176.599,500.937
178.779,505.028
180.96,506.0013
183.14,502.8893
185.32,499.0815
187.5,492.8681
189.681,490.4617
191.861,488.6579
194.041,489.5555
196.221,495.3388
198.401,497.8206
200.582,499.3164
202.762,503.9372
204.942,504.585
207.122,502.3519
209.303,502.4214
211.483,501.2168
213.663,499.9657
215.843,501.0825
218.024,499.8147
220.204,500.0169
222.384,502.743
224.564,506.2129
226.745,508.6252
228.925,510.2511
231.105,508.8641
233.285,512.34
235.465,512.9844
